楼栋,姓名,寝室号,床位号,离楼日期,回楼日期,备注
1号楼,张伟,201,1,2026-06-26,2026-06-26,回家
1号楼,黄丽,203,1,2026-06-14,,旅游
1号楼,吴敏,401,1,2026-06-14,2026-06-14,外出考试
2号楼,孙婷,102,1,2026-06-14,,外出考试
2号楼,郭涛,103,2,2026-06-14,2026-06-14,外出聚餐
3号楼,宋佳,201,2,2026-06-14,,回家
3号楼,郑浩,103,1,2026-06-14,2026-06-26,旅游
4号楼,唐磊,101,1,2026-06-14,2026-06-14,外出聚餐
1号楼,王磊,301,1,2026-06-22,2026-06-23,参加校园招聘会
1号楼,李萌,301,2,2026-06-23,,毕业答辩校外彩排
1号楼,张宇,302,1,2026-06-22,2026-06-24,学科竞赛省赛
1号楼,刘佳,302,2,2026-06-24,2026-06-25,医院复查身体
1号楼,陈阳,502,1,2026-06-25,,暑期夏令营面试
2号楼,赵琳,202,1,2026-06-22,2026-06-23,演唱会线下观演
2号楼,孙浩,202,2,2026-06-23,2026-06-26,志愿者社区服务
2号楼,周颖,203,1,2026-06-24,,教师资格证认定
2号楼,吴迪,301,1,2026-06-25,2026-06-26,回家取生活用品
2号楼,郑悦,301,2,2026-06-26,2026-06-26,漫展 cosplay 活动
3号楼,黄涛,202,1,2026-06-22,2026-06-23,驾照科目三考试
3号楼,林静,202,2,2026-06-23,2026-06-25,大学生创业比赛
3号楼,何峰,301,1,2026-06-24,,异地同学聚会
3号楼,高敏,301,2,2026-06-25,2026-06-27,回老家参加婚礼
3号楼,马强,302,1,2026-06-26,2026-06-26,图书馆研学活动
4号楼,谢明,203,1,2026-06-22,2026-06-24,机械创新设计大赛
4号楼,宋雪,203,2,2026-06-23,,普通话等级考试
4号楼,唐健,301,1,2026-06-24,2026-06-25,口腔医院复诊
4号楼,韩磊,301,2,2026-06-25,,户外徒步露营
4号楼,冯颖,302,1,2026-06-26,2026-06-28,毕业旅行短途游
1号楼,赵鑫,402,1,2026-06-29,2026-06-30,暑期实习入职
1号楼,钱悦,402,2,2026-06-30,,考研暑期集训
1号楼,孙博,403,1,2026-06-29,2026-07-01,全国大学生数学建模竞赛
1号楼,李娜,403,2,2026-07-01,2026-07-02,医院体检复查
1号楼,周航,501,1,2026-07-02,,暑期夏令营入营
2号楼,吴婷,302,1,2026-06-29,2026-06-30,线下脱口秀演出
2号楼,郑浩,302,2,2026-06-30,2026-07-03,社区公益支教活动
2号楼,王萌,303,1,2026-07-01,,护士资格证考试
2号楼,张磊,303,2,2026-07-02,2026-07-03,回家取换季衣物
2号楼,刘悦,401,1,2026-07-03,,动漫展参展
3号楼,黄博,303,1,2026-06-29,2026-06-30,驾照科目四考试
3号楼,林娜,303,2,2026-06-30,2026-07-02,互联网 + 创新创业大赛
3号楼,何航,401,1,2026-07-01,,高中同学聚会
3号楼,高婷,401,2,2026-07-02,2026-07-04,回老家参加升学宴
3号楼,马鑫,402,1,2026-07-03,,博物馆研学活动
4号楼,谢博,303,1,2026-06-29,2026-07-01,全国大学生电子设计竞赛
4号楼,宋娜,303,2,2026-06-30,,计算机二级考试
4号楼,唐航,401,1,2026-07-01,2026-07-02,牙科医院复诊
4号楼,韩鑫,401,2,2026-07-02,,户外骑行活动
4号楼,冯婷,402,1,2026-07-03,2026-07-05,毕业旅行长途游
1号楼,刘洋,201,2,2026-06-26,2026-06-26,回家
1号楼,陈鑫,502,1,2026-07-06,2026-07-07,暑期实习岗前培训
1号楼,褚悦,502,2,2026-07-07,,法考暑期集训
1号楼,卫博,503,1,2026-07-06,2026-07-08,全国大学生英语竞赛
1号楼,蒋娜,503,2,2026-07-08,2026-07-09,医院疫苗接种
1号楼,沈航,601,1,2026-07-09,,暑期学校入营
2号楼,韩婷,402,1,2026-07-06,2026-07-07,线下话剧演出
2号楼,杨浩,402,2,2026-07-07,2026-07-10,乡村振兴调研活动
2号楼,朱萌,403,1,2026-07-08,,教师资格证面试
2号楼,秦磊,403,2,2026-07-09,2026-07-10,回家取电脑设备
2号楼,尤悦,501,1,2026-07-10,,游戏展参展
3号楼,董博,403,1,2026-07-06,2026-07-07,摩托车驾照考试
3号楼,梁娜,403,2,2026-07-07,2026-07-09,挑战杯创业计划竞赛
3号楼,宋航,501,1,2026-07-08,,大学同学毕业聚会
3号楼,唐婷,501,2,2026-07-09,2026-07-11,回老家参加婚礼
3号楼,许鑫,502,1,2026-07-10,,科技馆研学活动
4号楼,魏博,403,1,2026-07-06,2026-07-08,全国大学生机械创新大赛
4号楼,叶娜,403,2,2026-07-07,,Python 等级考试
4号楼,蒋航,501,1,2026-07-08,2026-07-09,眼科医院复查
4号楼,韩鑫,501,2,2026-07-09,,户外露营活动
4号楼,程婷,502,1,2026-07-10,2026-07-12,暑期自驾游
1号楼,陈静,202,1,2026-06-26,2026-06-27,回家
